Protein Names	Gene Names	mRNA copy number experiment [molecules/cell]	Protein copy number experiment [molecules/cell]
DNA replication licensing factor MCM5	Mcm5	57.56	419902.3
DNA replication licensing factor MCM6	Mcm6	66.26	620555.2
DNA replication licensing factor MCM7	Mcm7	81.88	607551.08
DNA topoisomerase 1	Top1	24.99	329698.66
DNA topoisomerase 2-alpha	Top2a	127.23	429066.79
DNA topoisomerase 2-beta	Top2b	10.21	52403.29
DNA topoisomerase 3-beta-1	Top3b	10.67	3748.62
DNA topoisomerase II-binding protein 1	Topbp1	33.14	11936.3
DNA-(apurinic or apyrimidinic site) lyase	Apex1	46.94	636759.1
DNA/RNA-binding protein KIN17	Kin	5.56	7422.22
DNA2-like helicase	Dna2	3.47	2029.82
DNA-binding protein A	Csda	165.46	66389.84
DNA-binding protein A	Csda	155.97	452069.73
DNA-binding protein SMUBP-2	Ighmbp2	2.33	529.02
DNA-dependent protein kinase catalytic subunit	Prkdc	1.76	383.9
DNA-directed RNA polymerase	Polr3a	6.91	2656.97
DNA-directed RNA polymerase	Polr1b	19.99	10420.46
DNA-directed RNA polymerase I subunit RPA1	Polr1a	44.68	52622.83
DNA-directed RNA polymerase I subunit RPA12	Znrd1	18.62	81935.75
DNA-directed RNA polymerase I subunit RPA34	Cd3eap	17.52	44069.83
DNA-directed RNA polymerase I subunit RPA43	Twistnb	12.79	6529.78
DNA-directed RNA polymerase I subunit RPA49	Polr1e	6.71	35875.24
DNA-directed RNA polymerase II subunit RPB1	Polr2a	74.55	40748.28
DNA-directed RNA polymerase II subunit RPB2	Polr2b	36.62	85916.82
DNA-directed RNA polymerase II subunit RPB4	Polr2d	15.84	125975.67
DNA-directed RNA polymerase II subunit RPB7	Polr2g	71.31	99008.11
DNA-directed RNA polymerase II subunit RPB9	Polr2i	23.46	51838.32
DNA-directed RNA polymerase III subunit RPC2	Polr3b	10.13	17982.95
DNA-directed RNA polymerase III subunit RPC3	Polr3c	24.09	6670.82
DNA-directed RNA polymerase III subunit RPC7	Polr3g	5.29	4354.68
DNA-directed RNA polymerase III subunit RPC8	Polr3h	34.97	21123.54
DNA-directed RNA polymerase III subunit RPC9	Crcp	23.18	29913.35
DNA-directed RNA polymerase, mitochondrial	Polrmt	10.44	24475.99
DNA-directed RNA polymerases I and III subunit RPAC2	Polr1d		385212.36
DNA-directed RNA polymerases I, II, and III subunit RPABC1	Polr2e	90.5	909762.93
DNA-directed RNA polymerases I, II, and III subunit RPABC3	Polr2h	32.57	433163.08
DNA-directed RNA polymerases I, II, and III subunit RPABC5	Polr2l		108977.1
DnaJ (Hsp40) homolog, subfamily B, member 12	Dnajb12	27.67	44798.59
DnaJ (Hsp40) homolog, subfamily C, member 10	Dnajc10	19.94	48340.06
DnaJ (Hsp40) homolog, subfamily C, member 17	Dnajc17	4.23	12520.17
DnaJ homolog subfamily A member 1	Dnaja1	5.15	921605.06
DnaJ homolog subfamily A member 2	Dnaja2	40.78	457248.38
DnaJ homolog subfamily A member 3, mitochondrial	Dnaja3	14.38	31615.96
DnaJ homolog subfamily B member 1	Dnajb1	15.45	150939.28
DnaJ homolog subfamily B member 11	Dnajb11	16.07	206316.07
DnaJ homolog subfamily B member 4	Dnajb4	6.46	102858.2
DnaJ homolog subfamily B member 6	Dnajb6	10.69	153269.64
DnaJ homolog subfamily C member 1	Dnajc1	5.39	2460.79
DnaJ homolog subfamily C member 11	Dnajc11		10624.58
DnaJ homolog subfamily C member 2	Dnajc2	32.87	101142.73
DnaJ homolog subfamily C member 24	Dnajc24	8	32318.99
DnaJ homolog subfamily C member 25	Dnajc25	6.2	13480.45
DnaJ homolog subfamily C member 3	Dnajc3		67368.41
DnaJ homolog subfamily C member 5	Dnajc5		69302.54
DnaJ homolog subfamily C member 7	Dnajc7	41.74	236266.3
DnaJ homolog subfamily C member 8	Dnajc8	43.35	427036.5
DnaJ homolog subfamily C member 9	Dnajc9	15.77	88398.76
Docking protein 1	Dok1	19.37	1641.97
Dolichol-phosphate mannosyltransferase	Dpm1	5.88	271712.25
Dolichol-phosphate mannosyltransferase subunit 3	Dpm3	56.29	114981.03
Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1	Rpn1	66.57	1137191.98
Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1	Dad1	70.54	453051.85
Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3A	Stt3a	80.55	45137.05
Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3B	Stt3b		21276.02
Dolichyl-phosphate beta-glucosyltransferase	Alg5	23.12	111392.38
Double-strand break repair protein MRE11A	Mre11a	11.45	33703.68
Double-strand-break repair protein rad21 homolog	Rad21	84.81	94179.19
Double-stranded RNA-specific adenosine deaminase	Adar	10.35	495.38
Double-stranded RNA-specific editase 1	Adarb1	6.58	7151.48
Down syndrome critical region protein 3 homolog	Dscr3	10.89	5789.45
Dr1-associated corepressor	Drap1	115.21	239185.84
Drebrin	Dbn1	8.29	23214.09
Drebrin-like protein	Dbnl	26.65	195913.55
D-tyrosyl-tRNA(Tyr) deacylase 1	Dtd1	5.99	30038.56
Dual adapter for phosphotyrosine and 3-phosphotyrosine and 3-phosphoinositide	Dapp1	6.2	6028.91
Dual specificity mitogen-activated protein kinase kinase 1	Map2k1	21.55	417070.96
Dual specificity mitogen-activated protein kinase kinase 3	Map2k3	56.28	176060.54
Dual specificity mitogen-activated protein kinase kinase 4	Map2k4	11.99	53684.82
Dual specificity mitogen-activated protein kinase kinase 6	Map2k6	4.75	5986.55
Dual specificity mitogen-activated protein kinase kinase 7	Map2k7	16.98	13108.76
Dual specificity phosphatase 3 (Vaccinia virus phosphatase VH1-related)	Dusp3	6.4	116086.04
Dual specificity phosphatase 9	Dusp9	33.77	98756.26
Dual specificity protein kinase CLK1	Clk1	16.89	7193.35
Dual specificity protein kinase CLK3	Clk3	12.48	2936.39
Dual specificity protein kinase TTK	Ttk	10.92	4524.7
Dual specificity protein phosphatase 12	Dusp12	15.32	41726.76
Dual specificity protein phosphatase 14	Dusp14	11.57	7112.87
Dynactin subunit 2	Dctn2	64.61	328122.6
Dynactin subunit 3	Dctn3	28.73	608964.76
Dynactin subunit 4	Dctn4	8.97	13063.08
Dynactin subunit 5	Dctn5	29.95	26985.26
Dynactin subunit 6	Dctn6	10.89	47715.23
Dynamin-1	Dnm1	21.75	20282.9
Dynamin-1-like protein	Dnm1l	18.1	123025.62
Dynamin-2	Dnm2		101386.19
Dynamin-like 120 kDa protein, mitochondrial	Opa1	12.88	96193.25
Dynein cytoplasmic 1 intermediate chain 2	Dync1i2	25.24	142547.69
Dynein heavy chain 8, axonemal	Dnahc8		3065.37
Dynein light chain 1, cytoplasmic	Dynll1	36.07	897478.71
Dynein light chain 2, cytoplasmic	Dynll2		52657.48
Dynein light chain roadblock-type 1	Dynlrb1	63.95	272623.1
Dynein light chain Tctex-type 1	Dynlt1		157023.5
Dystrophin, muscular dystrophy	Dmd		82.24
E3 SUMO-protein ligase NSE2	Nsmce2	22.16	16397.6
E3 SUMO-protein ligase PIAS1	Pias1	4.41	2105.51
E3 SUMO-protein ligase RanBP2	Ranbp2	12.03	64878.24
E3 ubiquitin-protein ligase BRE1A	Rnf20	13.62	15052.87
E3 ubiquitin-protein ligase BRE1B	Rnf40	17.25	8584.1
E3 ubiquitin-protein ligase CBL	Cbl	6.72	1386.79
E3 ubiquitin-protein ligase HUWE1	Huwe1	35.25	51666.37
E3 ubiquitin-protein ligase Itchy	Itch	7.12	8783.3
E3 ubiquitin-protein ligase KCMF1	Kcmf1	28.6	14027.26
E3 ubiquitin-protein ligase MARCH5	March5	14.83	95040.61
E3 ubiquitin-protein ligase Mdm2	Mdm2	2210.16	26379.49
E3 ubiquitin-protein ligase NEDD4	Nedd4	116.18	317857.93
E3 ubiquitin-protein ligase NEDD4-like	Nedd4l	3.06	2564.82
E3 ubiquitin-protein ligase RING2	Rnf2	7.99	58559.48
E3 ubiquitin-protein ligase synoviolin	Syvn1	14.96	2481.21
E3 ubiquitin-protein ligase TRIM33	Trim33	7.06	19717.94
E3 ubiquitin-protein ligase UBR2	Ubr2	10.41	39326.58
E3 ubiquitin-protein ligase UBR3	Ubr3	10.73	115.04
E3 ubiquitin-protein ligase UBR4	Ubr4	23.57	49970.45
E3 ubiquitin-protein ligase UBR5	Ubr5	40.69	11185.1
E3 ubiquitin-protein ligase UHRF1	Uhrf1	54.66	92700.86
E3 ubiquitin-protein ligase ZNRF2	Znrf2	8.94	19866.34
Early endosome antigen 1	Eea1	9.31	103537.96
Echinoderm microtubule-associated protein-like 1	Eml1	23.86	1750.68
Echinoderm microtubule-associated protein-like 3	Eml3	17.39	541.54
Echinoderm microtubule-associated protein-like 4	Eml4		20918.08
Ecm1 protein	Ecm1	45.57	2752.16
Ecotropic viral integration site 5 protein	Evi5	9.91	1008.89
Ect2 protein	Ect2	19.2	2045.57
EF hand domain containing 2	Efhd2	16.81	409757.98
EF-hand domain-containing family member A1	Efha1	7.58	7088.68
EH domain-binding protein 1	Ehbp1	2.89	2984
EH domain-binding protein 1-like protein 1	Ehbp1l1	27.08	2972.01
EH domain-containing protein 1	Ehd1	75.03	1758735.43
EH domain-containing protein 2	Ehd2	41.95	553627.5
EH domain-containing protein 4	Ehd4	14.01	96539.93
Eif2b3 protein	Eif2b3	20.28	92413.13
ELAV (Embryonic lethal, abnormal vision, Drosophila)-like 2 (Hu antigen B)	Elavl2	0.98	19626.22
Electron transfer flavoprotein subunit alpha, mitochondrial	Etfa	18.89	739159.34
Electron transfer flavoprotein subunit beta	Etfb	45.61	1842372.04
Electron transfer flavoprotein-ubiquinone oxidoreductase, mitochondrial	Etfdh	15.14	56038.96
ELKS/RAB6-interacting/CAST family member 1	Erc1	4.9	28612.33
ELMO domain-containing protein 2	Elmod2	1.28	3378.45
Elongation factor 1-alpha 1	Eef1a1	3605.71	31513841.27
Elongation factor 1-alpha 2	Eef1a2		30962.12
Elongation factor 1-beta	Eef1b	460.18	2879035.46
Elongation factor 1-gamma	Eef1g	189.77	7610110.2
Elongation factor 2	Eef2	961.02	7034232.68
Elongation factor G 1, mitochondrial	Gfm1	35.73	122705.36
Elongation factor G 2, mitochondrial	Gfm2	4.98	1514.71
Elongation factor Ts, mitochondrial	Tsfm	13.93	146420.52
Elongation factor Tu GTP binding domain containing 2	Eftud2	72.16	431704.48
Elongation factor Tu GTP-binding domain-containing protein 1	Eftud1	6.89	28797.67
Elongation factor Tu, mitochondrial	Tufm		1106054.68
Elongation of very long chain fatty acids protein 1	Elovl1	30.98	11415.53
Elongation of very long chain fatty acids protein 5	Elovl5	21.97	2349.45
Elongator complex protein 1	Ikbkap	18.83	110077.56
Elongator complex protein 3	Elp3	16.67	22762.59
Elongator complex protein 4	Elp4	2.5	57315.55
Embigin	Emb		9787.33
Emerin	Emd	73.63	1127439.86
Endonuclease domain-containing 1 protein	Endod1	4.3	11098.45
Endophilin-A2	Sh3gl1	20.61	178274.05
Endophilin-B1	Sh3glb1	25.3	542657.49
Endoplasmic reticulum aminopeptidase 1	Erap1	9.03	38993.2
Endoplasmic reticulum metallopeptidase 1	Ermp1	4.35	6816.86
Endoplasmic reticulum protein ERp29	Erp29	39.76	433597.5
Endoplasmic reticulum resident protein ERp44	Erp44	11.41	286286.56
Endoplasmic reticulum-Golgi intermediate compartment protein 1	Ergic1	52.83	248643.17
Endoplasmic reticulum-Golgi intermediate compartment protein 3	Ergic3	65.25	46550.07
Endoplasmin	Hsp90b1	226.79	3799988.99
Endoribonuclease Dicer	Dicer1	6.56	2093.27
Endothelial differentiation-related factor 1	Edf1	107.67	282249.5
Endothelin-converting enzyme 2	Ece2	20.26	12456.92
Engulfment and cell motility protein 2	Elmo2	7.95	9033.36
ENH1	Pdlim5	25.34	302028.45
Enhanced at puberty protein 1	Eap1		7144.98
Enhancer of mRNA-decapping protein 3	Edc3	9.59	42005.61
Enhancer of mRNA-decapping protein 4	Edc4	13.08	39716.05
Enhancer of rudimentary homolog	Erh		1240369.77
Enhancer of yellow 2 transcription factor homolog	Eny2	19.95	401642.21
Enolase-phosphatase E1	Enoph1	26.98	187357.62
Enoyl-CoA hydratase domain-containing protein 1	Echdc1	4.62	13816.16
Enoyl-CoA hydratase domain-containing protein 3, mitochondrial	Echdc3	3.76	19340.07
Enoyl-CoA hydratase, mitochondrial	Echs1		529674.62
Ep300 protein	Ep300	17.52	18677.7
Ephrin receptor	Epha2	39.18	33282.87
Ephrin type-B receptor 2	Ephb2	9.49	1642.14
Ephrin type-B receptor 4	Ephb4	11.25	18440.75
Epidermal growth factor receptor	Egfr	6.08	7635.5
Epidermal growth factor receptor kinase substrate 8	Eps8	21.14	14413.13
Epidermal growth factor receptor kinase substrate 8-like protein 2	Eps8l2		43103.95
Epidermal growth factor receptor substrate 15	Eps15	8	17655.7
Epidermal growth factor receptor substrate 15-like 1	Eps15l1	8.83	3891.59
Epididymal secretory protein E1	Npc2	31.8	323571.03
Epididymis-specific alpha-mannosidase	Man2b2	11.02	3669.59
Epiplakin	Eppk1		4284.5
Epithelial membrane protein 2	Emp2	50.75	141414.81
EPM2A-interacting protein 1	Epm2aip1	7.27	63445.66
Epoxide hydrolase 1, microsomal	Ephx1	20.73	206859.64
Epsin 2	Epn2	9.05	4381.59
Epsin-1	Epn1	40.03	8566.08
Equilibrative nucleoside transporter 1	Slc29a1	52.59	6977.29
ER lumen protein retaining receptor 1	Kdelr1	33.44	18543.88
ER lumen protein retaining receptor 2	Kdelr2		13231.99
ER lumen protein retaining receptor 3	Kdelr3	34.7	4995.94
Erlin-1	Erlin1	16.33	17781.55
Erlin-2	Erlin2	7.62	155545.63
ERO1-like protein alpha	Ero1l	22.55	174228.15
Erythrocyte band 7 integral membrane protein	Stom	6.68	23899.02
Erythrocyte protein band 4.1	Epb4.1	6.27	4240.84
Erythrocyte protein band 4.1-like 2	Epb4.1l2	18.7	122466.77
Erythroid differentiation-related factor 1	Edrf1	3.31	24272.3
ES1 protein homolog, mitochondrial	D10Jhu81e	11.41	192529.54
ESF1 homolog	Esf1	15.74	58058.12
Ester hydrolase C11orf54 homolog		2	20893.91
Estradiol 17-beta-dehydrogenase 11	Hsd17b11	3.45	41428.88
Estradiol 17-beta-dehydrogenase 12	Hsd17b12	63.56	1858459.88
Estradiol 17-beta-dehydrogenase 2	Hsd17b2		48808.8
Estradiol 17-beta-dehydrogenase 8	Hsd17b8	2.98	3698.49
Ethanolamine kinase 1	Etnk1		73197.64
Ethanolamine-phosphate cytidylyltransferase	Pcyt2		48336.51
ETS-related transcription factor Elf-2	Elf2		670.81
Euchromatic histone methyltransferase 1	Ehmt1	10.81	6341.46
Eukaryotic initiation factor 4A-I	Eif4a1	143.13	11459143.44
Eukaryotic initiation factor 4A-II	Eif4a2	50.85	76695.62
Eukaryotic initiation factor 4A-III	Eif4a3		1753105.73
Eukaryotic peptide chain release factor GTP-binding subunit ERF3A	Gspt1	23.02	809504.74
Eukaryotic peptide chain release factor subunit 1	Etf1	46.36	497872.26
Eukaryotic translation elongation factor 1 epsilon-1	Eef1e1	26.67	440649.56
Eukaryotic translation initiation factor 1	Eif1	156.54	3003593.32
Eukaryotic translation initiation factor 1A	Eif1a	24.67	45677.16
Eukaryotic translation initiation factor 1A, X-chromosomal	Eif1ay	129.95	1245316.54
Eukaryotic translation initiation factor 1b	Eif1b		5546.96
Eukaryotic translation initiation factor 2 subunit 1	Eif2s1	20.65	2331947.24
Eukaryotic translation initiation factor 2 subunit 2	Eif2s2	35.16	1324266.56
Eukaryotic translation initiation factor 2 subunit 3, X-linked	Eif2s3x		2609085.09
Eukaryotic translation initiation factor 2A	Eif2a	20.02	276948.93
Eukaryotic translation initiation factor 2-alpha kinase 4	Eif2ak4	6.81	455.45
Eukaryotic translation initiation factor 2C, 2	Eif2c2	19.2	10681.13
Eukaryotic translation initiation factor 3 subunit 5 epsilon	Eif3s5	115.87	910765.49
Eukaryotic translation initiation factor 3 subunit A	Eif3a		654576.45
Eukaryotic translation initiation factor 3 subunit B	Eif3b	176.22	544794.45
Eukaryotic translation initiation factor 3 subunit C	Eif3c	186.13	355884.09
Eukaryotic translation initiation factor 3 subunit D	Eif3d	238.44	756177.58
Eukaryotic translation initiation factor 3 subunit E	Eif3e	136.18	915374.8
Eukaryotic translation initiation factor 3 subunit G	Eif3g	89.16	595747.63
Eukaryotic translation initiation factor 3 subunit H	Eif3h	329.21	1314922.29
Eukaryotic translation initiation factor 3 subunit I	Eif3i	112.03	1051513.35
Eukaryotic translation initiation factor 3 subunit J	Eif3j		543150.14
Eukaryotic translation initiation factor 3 subunit K	Eif3k	140.92	708877.33
Eukaryotic translation initiation factor 3 subunit L	Eif3l	249.03	817835.76
Eukaryotic translation initiation factor 3 subunit M	Eif3m	67.58	1260351.23
Eukaryotic translation initiation factor 4 gamma 1	Eif4g1	151.69	4837.47
Eukaryotic translation initiation factor 4 gamma 2	Eif4g2	119.05	207483.94
Eukaryotic translation initiation factor 4 gamma 3	Eif4g3		2815.68
Eukaryotic translation initiation factor 4B	Eif4b		560309.61
Eukaryotic translation initiation factor 4E	Eif4e	21.91	905181.08
Eukaryotic translation initiation factor 4E type 2	Eif4e2	27.16	26503
Eukaryotic translation initiation factor 4H	Eif4h		8217.41
Eukaryotic translation initiation factor 4H	Eif4h	168.33	1964619.58
Eukaryotic translation initiation factor 5	Eif5	59.7	414758.19
Eukaryotic translation initiation factor 5A-1	Eif5a	532.98	15472547.72
Eukaryotic translation initiation factor 5B	Eif5b	19.63	312850.54
Eukaryotic translation initiation factor 6	Eif6	174.11	3291039.84
Evolutionarily conserved signaling intermediate in Toll pathway, mitochondrial	Ecsit	10.71	3990.77
Ewing sarcoma breakpoint region 1	Ewsr1	96.28	24701.64
Exoc6b protein	Exoc6b	8.7	1642.29
Exocyst complex component 1	Exoc1	9.89	7919.65
Exocyst complex component 2	Exoc2	5.84	7712.05
Exocyst complex component 3	Exoc3	6.98	17685.59
Exocyst complex component 4	Exoc4	13.2	8230.28
Exocyst complex component 7	Exoc7		7782.67
Exocyst complex component 8	Exoc8		3533.62
Exosome complex exonuclease MTR3	Exosc6	13.68	54566.4
Exosome complex exonuclease RRP4	Exosc2	40.97	48206.73
Exosome complex exonuclease RRP40	Exosc3	21.76	40132.15
Exosome complex exonuclease RRP41	Exosc4	24.75	167014.83
Exosome complex exonuclease RRP43	Exosc8	37.38	46042.23
Exosome complex exonuclease RRP44	Dis3	24.73	95889.91
Exosome complex exonuclease RRP45	Exosc9	25.98	32526.09
Exosome complex exonuclease RRP46	Exosc5	17.87	80777.03
Exosome component 10	Exosc10	37.17	9969.99
Exosome component 7	Exosc7		48310.85
Exostosin-like 2	Extl2	7.04	15752.22
Exportin-1	Xpo1	34.15	228505.75
Exportin-2	Cse1l	44.93	2024898.58
Exportin-4	Xpo4	9.57	5008.16
Exportin-5	Xpo5	30.89	117789.95
Exportin-6	Xpo6	28.88	1151.88
Exportin-7	Xpo7		25924.61
Exportin-T	Xpot	27.45	38620.6
Extended synaptotagmin-1	Fam62a	8.28	29346.31
Extended synaptotagmin-2	Fam62b		19715.92
Eyes absent homolog 3	Eya3	6.55	3992.89
Ezrin	Ezr	16.13	116006.91
FACT complex subunit SPT16	Supt16h	21.91	112782.11
FACT complex subunit SSRP1	Ssrp1	118.96	208723.87
F-actin-capping protein subunit alpha-1	Capza1		516634.43
F-actin-capping protein subunit alpha-2	Capza2	70.29	1434787.64
FAD synthetase	Flad1	7.61	4481.47
FAD-linked sulfhydryl oxidase ALR	Gfer	20.47	53105.36
Fanconi anemia group I protein homolog	Fanci	6.91	4010.22
Far upstream element (FUSE) binding protein 1	Fubp1	22.37	394057.75
Far upstream element (FUSE) binding protein 3	Fubp3	15.97	246615.87
Far upstream element-binding protein 2	Khsrp	33.54	493922.92
Farp1 protein	Farp1		24158.14
Fas apoptotic inhibitory molecule 1	Faim	9.97	44863.83
FAS-associated factor 1	Faf1	8.71	8529.61
FAS-associated factor 2	Faf2	10.86	144839.19
Fasciculation and elongation protein zeta-2	Fez2	74.16	4493.17
Fascin	Fscn1	158.56	3297228.59
FAST kinase domain-containing protein 5	Fastkd5	6.63	2741.48
Fatty acid desaturase 2	Fads2	28.26	34344.07
Fatty acid desaturase 3	Fads3	34.75	17478.49
Fatty acid synthase	Fasn		576455.77
Fatty acid-binding protein, epidermal	Fabp5	30.46	2221746.75
Fatty acyl-CoA reductase 1	Far1	24.21	188794.33
F-box only protein 2	Fbxo2	11.55	47078.98
F-box only protein 21	Fbxo21	12.59	2329.75
F-box only protein 22	Fbxo22	16.03	19649.99
F-box only protein 28	Fbxo28	5.97	19988.68
F-box only protein 37	Fbxl15	6.3	34575.63
F-box only protein 38	Fbxo38	7.32	676.66
F-box only protein 4	Fbxo4	3.53	7103.39
F-box only protein 6	Fbxo6	9.63	89532.69
F-box/LRR-repeat protein 8	Fbxl8	1.94	2252.1
F-box-like/WD repeat-containing protein TBL1X	Tbl1x	40.87	158929.46
F-box-like/WD repeat-containing protein TBL1XR1	Tbl1xr1	4.71	5253.92
Fbxl18 protein	Fbxl18	6.33	2380.76
FCH domain only protein 2	Fcho2	4.66	9590.52
Fech protein	Fech		12427.93
FERM domain-containing protein 8	Frmd8	14.68	3257.97
FERM, RhoGEF and pleckstrin domain-containing protein 2	Farp2	3.64	947.81
Fermitin family homolog 2	Fermt2	17.15	5922.24
Ferritin	Ftl1	872.5	472916.64
Ferritin heavy chain	Fth1	2377.56	647545.13
FGFR1 oncogene partner 2	Fgfr1op2		2354.77
FH1/FH2 domain-containing protein 1	Fhod1	8.83	23797.53
Fibronectin type III domain-containing protein 3B	Fndc3b	19.47	19476.19
Filamin A-interacting protein 1-like	Filip1l	26.02	17608.44
Filamin binding LIM protein 1	Fblim1	19.65	2382.18
Filamin-A	Flna	341.25	2399491.89
Filamin-B	Flnb	75.28	737122.56
Filamin-C	Flnc	46.91	449339.64
Fizzy-related protein homolog	Fzr1	34.85	6834.4
FK506 binding protein 10	Fkbp10	62.76	165412.37
FK506-binding protein 11	Fkbp11		101088.64
FK506-binding protein 14	Fkbp14	2.23	4393.71
FK506-binding protein 15	Fkbp15	4.79	2846.41
FK506-binding protein 2	Fkbp2	28.62	631761.79
FK506-binding protein 3	Fkbp3	58.93	1809308.78
FK506-binding protein 4	Fkbp4	106.13	1217709.78
FK506-binding protein 5	Fkbp5	10.88	22992.8
FK506-binding protein 7	Fkbp7	8.77	79889.1
FK506-binding protein 8	Fkbp8	53.29	46222.62
FK506-binding protein 9	Fkbp9	68.77	234462.16
Flap endonuclease 1	Fen1	36.26	635990.29
Flavin reductase	Blvrb	59.02	1538869.03
Flotillin-1	Flot1	8.34	115383.7
Focal adhesion kinase 1	Ptk2	30.77	13814.75
Folylpolyglutamate synthase, mitochondrial	Fpgs	13.05	6014.62
Forkhead box F2	Foxf2	22.05	4100.52
Forkhead box L1	Foxl1		1090.07
Forkhead box protein K1	Foxk1	8.55	15641.94
Forkhead box protein K2	Foxk2		5755.74
Forkhead box protein P1	Foxp1	20.61	3391.16
Formin-binding protein 1-like	Fnbp1l	18.53	11806.35
Formin-binding protein 4	Fnbp4	13.44	18874.91
Formin-like protein 3	Fmnl3		2836.82
Forty-two-three domain-containing protein 1	Fyttd1	11.04	49330.08
Four and a half LIM domains 3	Fhl3	33.2	247800.36
Four and a half LIM domains protein 2	Fhl2	46.7	135063.43
Fragile X mental retardation protein 1 homolog	Fmr1	18.49	101960.99
Fragile X mental retardation syndrome-related protein 1	Fxr1	49.82	379309.99
Fragile X mental retardation, autosomal homolog 2	Fxr2	27.42	970.82
Fragilis	Ifitm3		1535412.12
Frataxin, mitochondrial	Fxn	10.12	19885.31
Fructose-bisphosphate aldolase	Aldoa	272.23	7188289.44
Ftsj homolog 1 (E. coli)	Ftsj1	2.89	3173.61
FtsJ methyltransferase domain-containing protein 2	Ftsjd2	18.91	6404.96
Fumarate hydratase, mitochondrial	Fh	29.52	332634.92
FUN14 domain-containing protein 1	Fundc1	5.88	6037.4
FUN14 domain-containing protein 2	Fundc2	8.34	446451.79
FUS-interacting serine-arginine-rich protein 1	Fusip1	34.13	3348.23
FUS-interacting serine-arginine-rich protein 1	Fusip1		438785.4
G patch domain and KOW motifs-containing protein	Gpkow	4.21	6717.73
G patch domain-containing protein 1	Gpatch1	2.81	760.6
G patch domain-containing protein 8	Gpatch8	8.41	12313.56
G protein pathway suppressor 2	Gps2	21.01	35652.28
G protein-coupled receptor kinase 6	Grk6	40.69	8145.43
G1/S-specific cyclin-D1	Ccnd1		90343.85
G2 and S phase-expressed protein 1	Gtse1		8224.07
GA-binding protein alpha chain	Gabpa	9.61	47285.98
Gag protein	Folr1		1330.55
Gag-Pol polyprotein	Mela		200636.43
Galactokinase	Galk1	58.19	706144.55
Galectin-1	Lgals1	2743	25768205.58
Galectin-3	Lgals3	183.11	7805134.62
Galectin-3-binding protein	Lgals3bp		10968.69
Galectin-8L	Lgals8	18.09	9670.91
Galectin-9	Lgals9	36.54	34308.78
Galectin-related protein A	Grpa	7.79	111811.29
Gamma actin-like protein	Actg1		356386.31
Gamma-aminobutyric acid receptor-associated protein	Gabarap	77.08	78184.05
Gamma-aminobutyric acid receptor-associated protein-like 2	Gabarapl2		37502.91
Gamma-soluble NSF attachment protein	Napg	2.6	66181.41
Gamma-tubulin complex component 2	Tubgcp2		20072.03
Gamma-tubulin complex component 3	Tubgcp3	14.45	12156.14
Gamma-tubulin complex component 4	Tubgcp4	11.7	10800.45
Gamma-tubulin complex component 5	Tubgcp5	8.74	677.3
Gasdermin-D	Gsdmdc1	91.65	573244.55
Gbf1 protein	Gbf1	11.02	26222.44
GCN1 general control of amino-acid synthesis 1-like 1 (Yeast)	Gcn1l1	26.26	147211.46
GC-rich sequence DNA-binding factor	Tcf9	2.9	1077.53
GC-rich sequence DNA-binding factor homolog	Gcfc	9.5	6962.93
GDP-fucose protein O-fucosyltransferase 1	Pofut1	7.91	41889.14
GDP-fucose protein O-fucosyltransferase 2	Pofut2	24.11	11344.54
GDP-L-fucose synthetase	Tsta3	67.75	481898.57
GDP-mannose 4,6 dehydratase	Gmds	19.45	182892.96
Gelsolin	Gsn	129.38	1632230.45
Gem-associated protein 5	Gemin5	13.71	54457.96
Gem-associated protein 6	Gemin6	11.49	3555.77
Gem-associated protein 7	Gemin7	29.28	88211.09
Gene model 962, (NCBI)	Gm962	3.37	692.05
General transcription factor 3C polypeptide 1	Gtf3c1	15.56	2296.55
General transcription factor 3C polypeptide 4	Gtf3c4	12.14	7770.94
General transcription factor 3C polypeptide 5	Gtf3c5	12.09	5278.23
General transcription factor II H, polypeptide 2	Gtf2h2	7.88	7153.01
General transcription factor IIE subunit 1	Gtf2e1	5.61	26756.13
General transcription factor IIE subunit 2	Gtf2e2		51545.53
General transcription factor IIF subunit 2	Gtf2f2	9.92	219941.4
General transcription factor IIF, polypeptide 1	Gtf2f1	39.61	26485.9
General transcription factor IIH subunit 1	Gtf2h1	20.78	1848.88
General transcription factor IIH subunit 3	Gtf2h3	6.63	7102.9
General transcription factor IIH subunit 4	Gtf2h4	7.44	9290.98
General transcription factor IIH subunit 5	Gtf2h5	29.55	1482.02
General transcription factor IIIC, polypeptide 3	Gtf3c3	6.99	1721.03
General vesicular transport factor p115	Uso1	42.07	208682.45
Geranylgeranyl pyrophosphate synthetase	Ggps1	4.51	22832.56
Geranylgeranyl transferase type-2 subunit alpha	Rabggta	3.75	3928.19
Girdin	Ccdc88a	3.56	2632.14
Glia maturation factor beta	Gmfb	16.14	103984.68
Glomulin	Glmn	6.78	70991.03
Glrx2 protein	Glrx2	4.12	47064.37
Glucocorticoid receptor	Nr3c1	8.92	23550.95
